"wiadomość","data","godzina","użytkownik"
"Elo mordo ","23.09.2022","08:22","Jarek"
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/received_1165142277689571.jpeg?alt=media&token=90addf59-2403-42f3-9933-cc3e79e7f797","23.09.2022","08:23",""
"test wiadomoswci do wyslania","23.09.2022","13:38","Paula Testerka"
"test wiadomosci do wyslania","23.09.2022","13:42","Paula Testerka"
"hello how are you","04.10.2022","01:33","Harsh Raghav"
"learn how to start or how to learn speak fuctionality","04.10.2022","01:33","Harsh Raghav"
"search speech to text work fine I like it but it's not real time","04.10.2022","01:34","Harsh Raghav"
"test wiadomosci do wyslania","21.10.2022","09:39","Paula Testerka"
"test wiadomosci do wyslania","21.10.2022","09:41","Paula Testerka"
"test wiadomosci do wyslania","21.10.2022","09:43","Paula Testerka"
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/golden.png?alt=media&token=6f85bb1a-c36f-406d-85b2-d1881bcc3d8e","21.10.2022","09:55",""
"test wiadomosci do wyslania","21.10.2022","09:55","Paula Testerka"
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/golden.png?alt=media&token=752ae5ed-1bc2-48f4-bd20-e2cafe1f47da","21.10.2022","09:59",""
"test wiadomosci do wyslania","21.10.2022","09:59","Paula Testerka"
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/golden.png?alt=media&token=b0f8ac5c-f36a-41de-ad5d-e8e10388e2a7","21.10.2022","10:11",""
"test wiadomosci do wyslania","21.10.2022","10:12","Paula Testerka"
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/golden.png?alt=media&token=745064e6-f743-41c0-92dc-41ffe7013046","21.10.2022","10:24",""
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/golden.png?alt=media&token=d7b043e4-be7e-412e-a41e-5e874fca7b51","21.10.2022","10:24",""
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/golden.png?alt=media&token=0f52f145-1c6c-42f6-ba29-a83cb564c514","21.10.2022","10:24",""
"test wiadomosci do wyslania😍","21.10.2022","10:24","Paula Testerka"
"pięknie pięknie ","21.10.2022","10:35","Adam"
"https://firebasestorage.googleapis.com/v0/b/message-app-a30e4.appspot.com/o/077ab55046ce80eaf9a3ddea999597ca_XL.jpg?alt=media&token=1830f6f0-d985-439c-8364-99344767825d","21.10.2022","11:54",""
